GAME_ID,game_date,player_name,winner_names,deflections,charges_drawn,usage_rate,gameId,teamId,teamCity,teamName,teamTricode,teamSlug,personId,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,minutes,minutes_decimal,fieldGoalsMade,fieldGoalsAttempted,fieldGoalsPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,plusMinusPoints,player_name_key,y,stocks,points_per_min,oreb_per_min,reb_per_min,ast_per_min,hustle_proxy,points_rank,reboundsOffensive_rank,reboundsTotal_rank,assists_rank,steals_rank,blocks_rank,plusMinusPoints_rank,minutes_decimal_rank
0021700517,2017-12-28,Marcus Smart,Marcus Smart,,,,21700517,1610612738,Boston,Celtics,BOS,celtics,203935,Marcus,Smart,M. Smart,marcus-smart,G,,,34:15,34.25,6,14,0.429,1,5,0.2,0,0,0.0,1,5,6,5,2,3,2,1,13,3.0,marcus smart,1,5.0,0.3796,0.0292,0.1752,0.146,6.0,3.0,4.0,3.0,1.0,1.0,1.0,4.0,3.0
0021700539,2017-12-31,Marcus Morris Sr.,Marcus Morris,,,0.00256,21700539,1610612738,Boston,Celtics,BOS,celtics,202694,Marcus,Morris Sr.,M. Morris Sr.,marcus-morris-sr,,,,16:57,16.95,5,7,0.714,4,5,0.8,1,2,0.5,0,2,2,0,0,0,2,2,15,12.0,marcus morris sr,1,0.0,0.885,0.0,0.118,0.0,0.0,2.0,7.0,8.0,8.0,6.0,6.0,1.0,8.0
0021700559,2018-01-03,Kyrie Irving,Kyrie Irving,,,0.0023899999999999,21700559,1610612738,Boston,Celtics,BOS,celtics,202681,Kyrie,Irving,K. Irving,kyrie-irving,G,,,28:15,28.25,5,14,0.357,0,5,0.0,1,2,0.5,0,9,9,6,1,0,2,2,11,18.0,kyrie irving,1,1.0,0.3894,0.0,0.3186,0.2124,1.0,5.0,6.0,1.0,1.0,3.0,3.0,2.0,4.0
0021700570,2018-01-05,Terry Rozier,Terry Rozier,,,0.00222,21700570,1610612738,Boston,Celtics,BOS,celtics,1626179,Terry,Rozier,T. Rozier,terry-rozier,,,,21:41,21.683333333333334,6,11,0.545,2,7,0.286,0,0,0.0,2,7,9,1,0,0,1,1,14,14.0,terry rozier,1,0.0,0.6457,0.0922,0.4151,0.0461,2.0,3.0,2.0,3.0,4.0,6.0,4.0,2.0,8.0
0021700579,2018-01-06,Daniel Theis,Daniel Theis,,,0.0011799999999999,21700579,1610612738,Boston,Celtics,BOS,celtics,1628464,Daniel,Theis,D. Theis,daniel-theis,,,,18:39,18.65,4,6,0.667,0,0,0.0,0,0,0.0,3,7,10,0,1,2,0,3,8,5.0,daniel theis,1,3.0,0.429,0.1609,0.5362,0.0,6.0,6.0,1.0,1.0,7.0,3.0,2.0,3.0,7.0
0021700614,2018-01-11,Jayson Tatum,Jayson Tatum,,,0.00254,21700614,1610612738,Boston,Celtics,BOS,celtics,1628369,Jayson,Tatum,J. Tatum,jayson-tatum,F,,,24:22,24.366666666666667,7,13,0.538,1,3,0.333,1,2,0.5,1,3,4,2,0,0,1,3,16,-8.0,jayson tatum,1,0.0,0.6566,0.041,0.1642,0.0821,1.0,4.0,4.0,5.0,3.0,7.0,3.0,13.0,4.0
0021700650,2018-01-16,Jaylen Brown,Jaylen Brown,,,0.00224,21700650,1610612738,Boston,Celtics,BOS,celtics,1627759,Jaylen,Brown,J. Brown,jaylen-brown,G,,,31:55,31.916666666666668,7,14,0.5,2,7,0.286,0,1,0.0,1,3,4,5,1,0,3,2,16,7.0,jaylen brown,1,1.0,0.5013,0.0313,0.1253,0.1567,2.0,2.0,5.0,8.0,2.0,2.0,4.0,1.0,3.0
0021700663,2018-01-18,Marcus Morris Sr.,Marcus Morris,,,0.00233,21700663,1610612738,Boston,Celtics,BOS,celtics,202694,Marcus,Morris Sr.,M. Morris Sr.,marcus-morris-sr,,,,27:15,27.25,4,9,0.444,2,5,0.4,4,4,1.0,1,5,6,1,0,0,3,1,14,-16.0,marcus morris sr,1,0.0,0.5138,0.0367,0.2202,0.0367,1.0,1.0,1.0,1.0,4.0,6.0,4.0,11.0,5.0
0021700683,2018-01-21,Kyrie Irving,Kyrie Irving,,,0.00297,21700683,1610612738,Boston,Celtics,BOS,celtics,202681,Kyrie,Irving,K. Irving,kyrie-irving,G,,,40:06,40.1,14,23,0.609,5,7,0.714,7,8,0.875,2,5,7,5,0,1,1,1,40,6.0,kyrie irving,1,1.0,0.9975,0.0499,0.1746,0.1247,3.0,1.0,2.0,2.0,2.0,6.0,3.0,1.0,1.0
0021700700,2018-01-23,Kyrie Irving,Kyrie Irving,,,0.00292,21700700,1610612738,Boston,Celtics,BOS,celtics,202681,Kyrie,Irving,K. Irving,kyrie-irving,G,,,38:24,38.4,13,24,0.542,4,11,0.364,3,3,1.0,0,3,3,4,0,0,1,1,33,16.0,kyrie irving,1,0.0,0.8594,0.0,0.0781,0.1042,0.0,1.0,4.0,5.0,3.0,4.0,4.0,1.0,1.0
